Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LEXUS ES 350 F Sport,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5B,midsize car,5,22,31,25,5,No,352
LEXUS ES 350 F Sport,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5B,midsize car,5,22,31,25,5,No,352
LEXUS GS 350,3.5,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,midsize car,5,19,26,21,4,No,422
LEXUS GS 350,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,midsize car,5,19,26,21,4,No,422
LEXUS GS 350,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,midsize car,5,20,28,23,5,No,388
LEXUS GS 350,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,midsize car,5,20,28,23,5,No,388
LEXUS GS 350 F Sport,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,midsize car,5,19,27,22,4,No,405
LEXUS GS 350 F Sport,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,midsize car,5,19,27,22,4,No,405
LEXUS GS F,5,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV05.0M5A,small car,5,16,24,19,3,No,472
LEXUS GS F,5,8,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV05.0M5A,small car,5,16,24,19,3,No,472
LEXUS GX 460,4.6,8,SemiAuto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXT04.6K6W,standard SUV,3,15,19,16,2,No,542
